run,w_peak,w_cost,w_var,peak_red_%,cost_red_%,var_red_%,pareto
93,0.569361,0.075237,0.355401,14.102,13.7523,54.7041,False
94,0.377199,0.417798,0.205003,21.1111,13.246,58.7283,True
95,0.022827,0.029846,0.947328,15.0627,12.7615,52.0142,False
96,0.246525,0.622671,0.130804,13.4047,12.3271,50.3748,False
97,0.563032,0.014312,0.422656,11.9031,11.3891,42.2571,False
98,0.323054,0.573933,0.103013,14.4254,13.8092,48.8899,False
99,0.631189,0.20685,0.161962,17.0008,12.4199,47.7699,False
100,0.179336,0.008575,0.812089,20.4323,13.5026,58.3707,False
101,0.450457,0.281536,0.268007,10.3625,10.7019,41.5452,False
102,0.675644,0.216549,0.107807,18.6767,12.2599,54.44,False
103,0.81283,0.13861,0.04856,18.9557,13.0955,54.1396,False
104,0.410112,0.44026,0.149629,11.8627,12.2988,45.0032,False
105,0.051823,0.889255,0.058922,15.3467,13.3477,49.3398,False
106,0.114166,0.779755,0.106079,14.1642,13.1581,50.3001,False
107,0.09925,0.674861,0.225889,9.3432,11.3797,44.6696,False
108,0.313262,0.150121,0.536617,17.9363,12.9146,56.6357,False
109,0.055804,0.834481,0.109715,15.8192,12.2353,52.2436,False
110,0.150243,0.014898,0.834859,10.4394,11.7883,46.5626,False
111,0.405399,0.517022,0.077579,18.2612,12.7973,43.4642,False
112,0.079934,0.719328,0.200738,15.6662,13.3745,52.6149,False
113,0.617362,0.184095,0.198542,16.3541,12.0632,47.3593,False
114,0.015322,0.792529,0.192149,13.1567,11.2144,47.663,False
115,0.04866,0.610563,0.340777,11.7403,11.4631,46.5275,False
116,0.154114,0.696482,0.149403,15.8988,14.5284,52.8253,False
117,0.361286,0.115,0.523714,21.8491,13.8537,58.4573,True
118,0.575032,0.314143,0.110825,12.7735,12.0452,46.9786,False
119,0.664481,0.282732,0.052787,10.0983,11.347,42.3169,False
120,0.112473,0.085255,0.802271,16.4351,12.5459,53.6176,False
121,0.803905,0.190705,0.005389,14.3898,12.9869,49.3823,False
122,0.217677,0.615186,0.167137,9.4941,12.5313,41.3248,False
123,0.049255,0.468695,0.48205,16.0058,12.6984,50.3495,False
124,0.068247,0.121177,0.810576,16.6454,12.5977,50.9799,False
125,0.313401,0.16542,0.52118,14.3591,12.7001,51.118,False
126,0.599382,0.153254,0.247363,16.2132,12.527,46.811,False
127,0.290566,0.170527,0.538907,14.553,12.7475,47.7392,False
128,0.071405,0.795688,0.132907,14.584,12.2326,53.2674,False
129,0.297242,0.442729,0.260029,16.6893,13.1561,51.2987,False
130,0.599685,0.195897,0.204418,18.2256,12.7868,49.1337,False
131,0.04878,0.255595,0.695625,14.6348,12.5781,49.832,False
132,0.536726,0.027071,0.436203,19.6624,12.6216,56.7888,False
133,0.23718,0.341361,0.421458,13.4966,12.6858,45.9053,False
134,0.281419,0.220572,0.498009,17.0191,13.2835,53.3842,False
135,0.450165,0.131382,0.418453,14.4942,12.6867,50.2418,False
136,0.182148,0.53237,0.285482,15.8349,12.2182,49.5703,False
137,0.450931,0.53461,0.014459,12.9655,12.3194,44.9443,False
138,0.656512,0.211295,0.132194,6.7588,11.4901,33.7608,False
139,0.234227,0.485119,0.280654,18.4756,12.2599,54.4575,False
140,0.167818,0.452816,0.379367,10.7871,12.4789,44.609,False
141,0.692154,0.027039,0.280808,6.4045,11.538,38.252,False
142,0.393486,0.581264,0.02525,16.6782,11.972,52.0785,False
143,0.345725,0.159442,0.494833,17.7372,11.6033,53.2955,False
144,0.599901,0.06264,0.337459,12.2341,11.8513,48.7425,False
145,0.552494,0.232631,0.214875,12.3008,11.955,41.6321,False
146,0.518641,0.342724,0.138635,16.6297,13.1974,51.6061,False
147,0.614613,0.219742,0.165645,10.6055,14.5067,44.3602,False
148,0.333426,0.501841,0.164733,16.1225,11.8451,47.0045,False
149,0.452074,0.302934,0.244992,20.3209,13.3392,57.2416,False
150,0.854315,0.097689,0.047995,19.6218,12.2318,55.3255,False
151,0.176351,0.121514,0.702135,15.5663,11.5557,50.9679,False
152,0.25383,0.575664,0.170506,13.9768,11.7741,45.5223,False
153,0.032768,0.7834,0.183832,16.2693,12.777,52.2539,False
154,0.119402,0.745262,0.135336,13.2468,13.3044,51.4957,False
155,0.174417,0.157207,0.668376,16.8301,12.6144,51.0321,False
156,0.147883,0.583079,0.269037,13.0344,12.5207,45.0285,False
157,0.203924,0.52747,0.268606,11.1363,12.8773,48.4298,False
158,0.548253,0.330824,0.120923,16.8038,11.9391,48.1227,False
159,0.300903,0.249472,0.449625,12.9857,12.8656,52.5926,False
160,0.291174,0.674304,0.034522,14.6451,13.1685,53.7089,False
161,0.394251,0.077325,0.528424,16.0502,13.3334,52.7004,False
162,0.45567,0.198541,0.345789,14.2624,12.0325,50.1324,False
163,0.451487,0.089259,0.459253,19.0544,12.9636,55.7887,False
164,0.177048,0.502727,0.320225,13.3745,13.1694,54.6896,False
165,0.294544,0.189533,0.515923,19.8591,12.9562,54.458,False
166,0.510999,0.041273,0.447728,12.1518,12.5763,51.5036,False
167,0.345943,0.624245,0.029813,18.9039,13.5173,55.5054,False
168,0.669161,0.122389,0.208451,17.1376,13.4838,57.8302,False
169,0.643141,0.247895,0.108964,16.1192,12.8796,49.9249,False
170,0.134017,0.715577,0.150406,15.8048,13.0829,47.1863,False
171,0.10201,0.82643,0.07156,19.193,12.8055,52.4975,False
172,0.779354,0.195676,0.02497,19.1805,13.4193,51.9966,False
173,0.32344,0.42142,0.25514,19.7886,13.4741,55.8703,False
174,0.583192,0.097043,0.319764,19.5679,11.9813,47.1401,False
175,0.067894,0.226685,0.705421,17.2427,12.6355,55.8867,False
176,0.381423,0.335064,0.283513,13.1379,12.5229,49.9014,False
177,0.599821,0.264501,0.135678,10.7006,11.7921,43.5316,False
178,0.156223,0.702404,0.141373,15.9139,13.3053,53.6921,False
179,0.79127,0.074584,0.134145,15.1851,12.6309,50.779,False
180,0.310384,0.366181,0.323435,15.1093,11.6908,46.8539,False
181,0.880905,0.037496,0.081599,12.2631,12.0819,51.3051,False
182,0.282696,0.712662,0.004641,10.4599,11.6005,41.2317,False
183,0.472987,0.301811,0.225202,12.4452,11.4871,42.9868,False
184,0.721843,0.076609,0.201547,14.0328,11.6676,47.391,False
185,0.159509,0.381234,0.459257,9.9561,10.9753,40.1222,False
186,0.117821,0.549171,0.333008,10.8588,11.4242,41.7428,False
187,0.143391,0.005429,0.85118,18.1137,13.4103,56.426,False
188,0.580084,0.385394,0.034522,18.8177,12.5237,55.184,False
189,0.617494,0.28353,0.098976,13.8026,11.9287,49.8758,False
190,0.250119,0.004894,0.744986,18.0434,13.3445,52.8441,False
191,0.500108,0.293143,0.206748,15.7593,12.3643,51.2888,False
192,0.111854,0.504261,0.383884,15.2211,13.2456,51.8235,False
193,0.261452,0.710494,0.028053,9.1421,11.4122,46.3209,False
194,0.314316,0.271581,0.414103,16.5188,12.8778,53.47,False
195,0.611469,0.090956,0.297575,17.5708,13.5085,53.8298,False
196,0.157211,0.687196,0.155593,14.9838,12.9806,48.1575,False
197,0.059014,0.35675,0.584236,13.0936,11.8431,47.3515,False
198,0.853623,0.14454,0.001838,18.3922,13.1135,52.8314,False
199,0.362352,0.533093,0.104555,17.4157,12.3617,55.6034,False
